Player,Team,Position,Value,Teams,Scoring
Ja'Marr Chase,CIN,WR,58,8,Standard
Saquon Barkley,PHI,RB,52,8,Standard
Bijan Robinson,ATL,RB,46,8,Standard
Jahmyr Gibbs,DET,RB,46,8,Standard
Derrick Henry,BAL,RB,45,8,Standard
Justin Jefferson,MIN,WR,42,8,Standard
Christian McCaffrey,SF,RB,35,8,Standard
Josh Jacobs,GB,RB,34,8,Standard
Puka Nacua,LAR,WR,34,8,Standard
CeeDee Lamb,DAL,WR,34,8,Standard
Josh Allen,BUF,QB,32,8,Standard
Lamar Jackson,BAL,QB,32,8,Standard
George Kittle,SF,TE,32,8,Standard
Jonathan Taylor,IND,RB,31,8,Standard
Brock Bowers,LV,TE,31,8,Standard
De'Von Achane,MIA,RB,30,8,Standard
Brian Thomas Jr.,JAC,WR,30,8,Standard
Nico Collins,HOU,WR,30,8,Standard
Amon-Ra St. Brown,DET,WR,30,8,Standard
Ashton Jeanty,LV,RB,29,8,Standard
Kyren Williams,LAR,RB,28,8,Standard
Malik Nabers,NYG,WR,28,8,Standard
Bucky Irving,TB,RB,26,8,Standard
Ladd McConkey,LAC,WR,25,8,Standard
Jalen Hurts,PHI,QB,24,8,Standard
Trey McBride,ARI,TE,24,8,Standard
Jayden Daniels,WAS,QB,23,8,Standard
James Cook,BUF,RB,23,8,Standard
A.J. Brown,PHI,WR,23,8,Standard
Mike Evans,TB,WR,23,8,Standard
Drake London,ATL,WR,21,8,Standard
Chase Brown,CIN,RB,20,8,Standard
Tyreek Hill,MIA,WR,20,8,Standard
Tee Higgins,CIN,WR,19,8,Standard
Terry McLaurin,WAS,WR,19,8,Standard
Joe Burrow,CIN,QB,18,8,Standard
Davante Adams,LAR,WR,18,8,Standard
Breece Hall,NYJ,RB,17,8,Standard
James Conner,ARI,RB,17,8,Standard
Kenneth Walker III,SEA,RB,16,8,Standard
Mark Andrews,BAL,TE,16,8,Standard
Marvin Harrison Jr.,ARI,WR,15,8,Standard
DK Metcalf,PIT,WR,15,8,Standard
Sam LaPorta,DET,TE,15,8,Standard
Omarion Hampton,LAC,RB,14,8,Standard
Alvin Kamara,NO,RB,13,8,Standard
Chuba Hubbard,CAR,RB,13,8,Standard
Jaxon Smith-Njigba,SEA,WR,13,8,Standard
Joe Mixon,HOU,RB,12,8,Standard
Patrick Mahomes II,KC,QB,11,8,Standard
Aaron Jones Sr.,MIN,RB,11,8,Standard
D'Andre Swift,CHI,RB,11,8,Standard
David Montgomery,DET,RB,11,8,Standard
Zay Flowers,BAL,WR,11,8,Standard
Xavier Worthy,KC,WR,10,8,Standard
Courtland Sutton,DEN,WR,10,8,Standard
Travis Kelce,KC,TE,10,8,Standard
T.J. Hockenson,MIN,TE,10,8,Standard
Baker Mayfield,TB,QB,9,8,Standard
Jameson Williams,DET,WR,9,8,Standard
Garrett Wilson,NYJ,WR,8,8,Standard
DJ Moore,CHI,WR,8,8,Standard
Calvin Ridley,TEN,WR,8,8,Standard
Kyler Murray,ARI,QB,7,8,Standard
Tony Pollard,TEN,RB,7,8,Standard
TreVeyon Henderson,NE,RB,7,8,Standard
Kaleb Johnson,PIT,RB,7,8,Standard
Brian Robinson Jr.,WAS,RB,7,8,Standard
David Njoku,CLE,TE,7,8,Standard
Isiah Pacheco,KC,RB,6,8,Standard
Tyrone Tracy Jr.,NYG,RB,6,8,Standard
DeVonta Smith,PHI,WR,6,8,Standard
George Pickens,DAL,WR,6,8,Standard
Brock Purdy,SF,QB,5,8,Standard
Bo Nix,DEN,QB,5,8,Standard
RJ Harvey,DEN,RB,5,8,Standard
Jerry Jeudy,CLE,WR,5,8,Standard
Deebo Samuel Sr.,WAS,WR,4,8,Standard
Justin Fields,NYJ,QB,3,8,Standard
Quinshon Judkins,CLE,RB,3,8,Standard
Javonte Williams,DAL,RB,3,8,Standard
J.K. Dobbins,DEN,RB,3,8,Standard
Jaylen Warren,PIT,RB,3,8,Standard
Jauan Jennings,SF,WR,3,8,Standard
Jakobi Meyers,LV,WR,3,8,Standard
Jaylen Waddle,MIA,WR,3,8,Standard
Jayden Reed,GB,WR,3,8,Standard
Tucker Kraft,GB,TE,3,8,Standard
Tyler Warren,IND,TE,3,8,Standard
Dallas Goedert,PHI,TE,3,8,Standard
Najee Harris,LAC,RB,2,8,Standard
Travis Etienne Jr.,JAC,RB,2,8,Standard
Rhamondre Stevenson,NE,RB,2,8,Standard
Austin Ekeler,WAS,RB,2,8,Standard
Tetairoa McMillan,CAR,WR,2,8,Standard
Buffalo Bills,BUF,DST,2,8,Standard
Denver Broncos,DEN,DST,2,8,Standard
Jared Goff,DET,QB,1,8,Standard
Jordan Mason,MIN,RB,1,8,Standard
Cam Skattebo,NYG,RB,1,8,Standard
Chris Godwin,TB,WR,1,8,Standard
Travis Hunter,JAC,WR,1,8,Standard
Rome Odunze,CHI,WR,1,8,Standard
Colston Loveland,CHI,TE,1,8,Standard
Ja'Marr Chase,CIN,WR,59,10,Standard
Saquon Barkley,PHI,RB,56,10,Standard
Bijan Robinson,ATL,RB,51,10,Standard
Jahmyr Gibbs,DET,RB,51,10,Standard
Derrick Henry,BAL,RB,49,10,Standard
Justin Jefferson,MIN,WR,44,10,Standard
Christian McCaffrey,SF,RB,40,10,Standard
Josh Jacobs,GB,RB,39,10,Standard
Jonathan Taylor,IND,RB,37,10,Standard
Puka Nacua,LAR,WR,37,10,Standard
De'Von Achane,MIA,RB,36,10,Standard
CeeDee Lamb,DAL,WR,36,10,Standard
Ashton Jeanty,LV,RB,35,10,Standard
Kyren Williams,LAR,RB,34,10,Standard
Brian Thomas Jr.,JAC,WR,33,10,Standard
Nico Collins,HOU,WR,33,10,Standard
Amon-Ra St. Brown,DET,WR,33,10,Standard
Josh Allen,BUF,QB,32,10,Standard
Lamar Jackson,BAL,QB,32,10,Standard
Bucky Irving,TB,RB,32,10,Standard
George Kittle,SF,TE,32,10,Standard
Malik Nabers,NYG,WR,31,10,Standard
Brock Bowers,LV,TE,31,10,Standard
James Cook,BUF,RB,29,10,Standard
Ladd McConkey,LAC,WR,28,10,Standard
A.J. Brown,PHI,WR,27,10,Standard
Chase Brown,CIN,RB,26,10,Standard
Mike Evans,TB,WR,26,10,Standard
Jalen Hurts,PHI,QB,25,10,Standard
Jayden Daniels,WAS,QB,24,10,Standard
Breece Hall,NYJ,RB,24,10,Standard
Drake London,ATL,WR,24,10,Standard
Tyreek Hill,MIA,WR,24,10,Standard
Trey McBride,ARI,TE,24,10,Standard
James Conner,ARI,RB,23,10,Standard
Kenneth Walker III,SEA,RB,23,10,Standard
Tee Higgins,CIN,WR,23,10,Standard
Terry McLaurin,WAS,WR,23,10,Standard
Davante Adams,LAR,WR,21,10,Standard
Joe Burrow,CIN,QB,20,10,Standard
Omarion Hampton,LAC,RB,20,10,Standard
Alvin Kamara,NO,RB,19,10,Standard
Chuba Hubbard,CAR,RB,19,10,Standard
Marvin Harrison Jr.,ARI,WR,19,10,Standard
DK Metcalf,PIT,WR,19,10,Standard
Joe Mixon,HOU,RB,17,10,Standard
Aaron Jones Sr.,MIN,RB,17,10,Standard
Mark Andrews,BAL,TE,17,10,Standard
Sam LaPorta,DET,TE,17,10,Standard
D'Andre Swift,CHI,RB,16,10,Standard
David Montgomery,DET,RB,16,10,Standard
Jaxon Smith-Njigba,SEA,WR,16,10,Standard
Zay Flowers,BAL,WR,15,10,Standard
Xavier Worthy,KC,WR,14,10,Standard
Courtland Sutton,DEN,WR,14,10,Standard
Tony Pollard,TEN,RB,13,10,Standard
Jameson Williams,DET,WR,13,10,Standard
Garrett Wilson,NYJ,WR,13,10,Standard
DJ Moore,CHI,WR,13,10,Standard
Calvin Ridley,TEN,WR,13,10,Standard
Patrick Mahomes II,KC,QB,12,10,Standard
TreVeyon Henderson,NE,RB,12,10,Standard
Kaleb Johnson,PIT,RB,12,10,Standard
Brian Robinson Jr.,WAS,RB,12,10,Standard
Travis Kelce,KC,TE,12,10,Standard
Baker Mayfield,TB,QB,11,10,Standard
Isiah Pacheco,KC,RB,11,10,Standard
T.J. Hockenson,MIN,TE,11,10,Standard
Tyrone Tracy Jr.,NYG,RB,10,10,Standard
DeVonta Smith,PHI,WR,10,10,Standard
Kyler Murray,ARI,QB,9,10,Standard
George Pickens,DAL,WR,9,10,Standard
David Njoku,CLE,TE,9,10,Standard
RJ Harvey,DEN,RB,8,10,Standard
Brock Purdy,SF,QB,7,10,Standard
Quinshon Judkins,CLE,RB,7,10,Standard
Javonte Williams,DAL,RB,7,10,Standard
Jerry Jeudy,CLE,WR,7,10,Standard
Deebo Samuel Sr.,WAS,WR,7,10,Standard
Bo Nix,DEN,QB,6,10,Standard
J.K. Dobbins,DEN,RB,6,10,Standard
Jaylen Warren,PIT,RB,6,10,Standard
Jauan Jennings,SF,WR,6,10,Standard
Jakobi Meyers,LV,WR,6,10,Standard
Jaylen Waddle,MIA,WR,6,10,Standard
Najee Harris,LAC,RB,5,10,Standard
Travis Etienne Jr.,JAC,RB,5,10,Standard
Rhamondre Stevenson,NE,RB,5,10,Standard
Austin Ekeler,WAS,RB,5,10,Standard
Jordan Mason,MIN,RB,5,10,Standard
Cam Skattebo,NYG,RB,5,10,Standard
Jayden Reed,GB,WR,5,10,Standard
Tetairoa McMillan,CAR,WR,5,10,Standard
Justin Fields,NYJ,QB,4,10,Standard
Tank Bigsby,JAC,RB,4,10,Standard
Zach Charbonnet,SEA,RB,4,10,Standard
Rachaad White,TB,RB,4,10,Standard
Tyjae Spears,TEN,RB,4,10,Standard
Chris Godwin,TB,WR,4,10,Standard
Travis Hunter,JAC,WR,4,10,Standard
Rome Odunze,CHI,WR,4,10,Standard
Jordan Addison,MIN,WR,4,10,Standard
Rashee Rice,KC,WR,4,10,Standard
Tucker Kraft,GB,TE,4,10,Standard
Jared Goff,DET,QB,3,10,Standard
Matthew Golden,GB,WR,3,10,Standard
Tyler Warren,IND,TE,3,10,Standard
Dallas Goedert,PHI,TE,3,10,Standard
Dylan Sampson,CLE,RB,2,10,Standard
Jerome Ford,CLE,RB,2,10,Standard
Nick Chubb,HOU,RB,2,10,Standard
Trey Benson,ARI,RB,2,10,Standard
Keon Coleman,BUF,WR,2,10,Standard
Chris Olave,NO,WR,2,10,Standard
Stefon Diggs,NE,WR,2,10,Standard
Buffalo Bills,BUF,DST,2,10,Standard
Dak Prescott,DAL,QB,1,10,Standard
J.J. McCarthy,MIN,QB,1,10,Standard
Justin Herbert,LAC,QB,1,10,Standard
Caleb Williams,CHI,QB,1,10,Standard
Tyler Allgeier,ATL,RB,1,10,Standard
Isaac Guerendo,SF,RB,1,10,Standard
Ricky Pearsall,SF,WR,1,10,Standard
Rashid Shaheed,NO,WR,1,10,Standard
Darnell Mooney,ATL,WR,1,10,Standard
Cooper Kupp,SEA,WR,1,10,Standard
Colston Loveland,CHI,TE,1,10,Standard
Jake Ferguson,DAL,TE,1,10,Standard
Zach Ertz,WAS,TE,1,10,Standard
Evan Engram,DEN,TE,1,10,Standard
Kyle Pitts Sr.,ATL,TE,1,10,Standard
Ja'Marr Chase,CIN,WR,58,12,Standard
Saquon Barkley,PHI,RB,56,12,Standard
Bijan Robinson,ATL,RB,51,12,Standard
Jahmyr Gibbs,DET,RB,51,12,Standard
Derrick Henry,BAL,RB,50,12,Standard
Justin Jefferson,MIN,WR,45,12,Standard
Christian McCaffrey,SF,RB,42,12,Standard
Josh Jacobs,GB,RB,41,12,Standard
Jonathan Taylor,IND,RB,39,12,Standard
Puka Nacua,LAR,WR,39,12,Standard
De'Von Achane,MIA,RB,38,12,Standard
CeeDee Lamb,DAL,WR,38,12,Standard
Ashton Jeanty,LV,RB,37,12,Standard
Kyren Williams,LAR,RB,36,12,Standard
Brian Thomas Jr.,JAC,WR,35,12,Standard
Nico Collins,HOU,WR,35,12,Standard
Amon-Ra St. Brown,DET,WR,35,12,Standard
Bucky Irving,TB,RB,34,12,Standard
Josh Allen,BUF,QB,33,12,Standard
Lamar Jackson,BAL,QB,33,12,Standard
Malik Nabers,NYG,WR,33,12,Standard
James Cook,BUF,RB,32,12,Standard
Ladd McConkey,LAC,WR,31,12,Standard
George Kittle,SF,TE,31,12,Standard
Brock Bowers,LV,TE,30,12,Standard
Chase Brown,CIN,RB,29,12,Standard
A.J. Brown,PHI,WR,29,12,Standard
Mike Evans,TB,WR,29,12,Standard
Jalen Hurts,PHI,QB,27,12,Standard
Breece Hall,NYJ,RB,27,12,Standard
James Conner,ARI,RB,27,12,Standard
Drake London,ATL,WR,27,12,Standard
Tyreek Hill,MIA,WR,27,12,Standard
Jayden Daniels,WAS,QB,26,12,Standard
Kenneth Walker III,SEA,RB,26,12,Standard
