player,team,pos,scoring,points
Josh Allen,BUF,QB,Standard,380.93
Josh Allen,BUF,QB,Half-PPR,380.93
Josh Allen,BUF,QB,PPR,380.93
Lamar Jackson,BAL,QB,Standard,377.02
Lamar Jackson,BAL,QB,Half-PPR,377.02
Lamar Jackson,BAL,QB,PPR,377.02
Jayden Daniels,WAS,QB,Standard,363.59
Jayden Daniels,WAS,QB,Half-PPR,363.59
Jayden Daniels,WAS,QB,PPR,363.59
Jalen Hurts,PHI,QB,Standard,359.62
Jalen Hurts,PHI,QB,Half-PPR,359.62
Jalen Hurts,PHI,QB,PPR,359.62
Joe Burrow,CIN,QB,Standard,348.46
Joe Burrow,CIN,QB,Half-PPR,348.46
Joe Burrow,CIN,QB,PPR,348.46
Patrick Mahomes II,KC,QB,Standard,326.35
Patrick Mahomes II,KC,QB,Half-PPR,326.35
Patrick Mahomes II,KC,QB,PPR,326.35
Baker Mayfield,TB,QB,Standard,322
Baker Mayfield,TB,QB,Half-PPR,322
Baker Mayfield,TB,QB,PPR,322
Kyler Murray,ARI,QB,Standard,319.45
Kyler Murray,ARI,QB,Half-PPR,319.45
Kyler Murray,ARI,QB,PPR,319.45
Brock Purdy,SF,QB,Standard,309.68
Brock Purdy,SF,QB,Half-PPR,309.68
Brock Purdy,SF,QB,PPR,309.68
Bo Nix,DEN,QB,Standard,308.79
Bo Nix,DEN,QB,Half-PPR,308.79
Bo Nix,DEN,QB,PPR,308.79
Saquon Barkley,PHI,RB,Standard,279.1
Saquon Barkley,PHI,RB,Half-PPR,298.08
Saquon Barkley,PHI,RB,PPR,317.05
Jared Goff,DET,QB,Standard,296.59
Jared Goff,DET,QB,Half-PPR,296.59
Jared Goff,DET,QB,PPR,296.59
Bijan Robinson,ATL,RB,Standard,266.09
Bijan Robinson,ATL,RB,Half-PPR,295.31
Bijan Robinson,ATL,RB,PPR,324.52
Ja'Marr Chase,CIN,WR,Standard,232.95
Ja'Marr Chase,CIN,WR,Half-PPR,292.14
Ja'Marr Chase,CIN,WR,PPR,351.33
Dak Prescott,DAL,QB,Standard,291.58
Dak Prescott,DAL,QB,Half-PPR,291.58
Dak Prescott,DAL,QB,PPR,291.58
Caleb Williams,CHI,QB,Standard,290.48
Caleb Williams,CHI,QB,Half-PPR,290.48
Caleb Williams,CHI,QB,PPR,290.48
Justin Herbert,LAC,QB,Standard,289.46
Justin Herbert,LAC,QB,Half-PPR,289.46
Justin Herbert,LAC,QB,PPR,289.46
Jahmyr Gibbs,DET,RB,Standard,259.06
Jahmyr Gibbs,DET,RB,Half-PPR,286.89
Jahmyr Gibbs,DET,RB,PPR,314.72
Justin Fields,NYJ,QB,Standard,285.87
Justin Fields,NYJ,QB,Half-PPR,285.87
Justin Fields,NYJ,QB,PPR,285.87
J.J. McCarthy,MIN,QB,Standard,285.33
